"Area_14.Prodotto_1.Zona","Area_14.Prodotto_1.Area","Area_14.Prodotto_1.Sottoarea","Area_14.Prodotto_1.Latitudine","Area_14.Prodotto_1.Longitudine","Area_14.Prodotto_1.Categoria_prodotto","Area_14.Prodotto_1.Data","Area_14.Prodotto_1.Day","Area_14.Prodotto_1.Season","Area_14.Prodotto_1.Vendite"
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-01","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-02","giovedì","inverno",4
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-03","venerdì","inverno",5
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-04","sabato","inverno",1
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-05","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-06","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-07","martedì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-08","mercoledì","inverno",5
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-09","giovedì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-10","venerdì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-11","sabato","inverno",1
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-12","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-13","lunedì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-14","martedì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-15","mercoledì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-16","giovedì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-17","venerdì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-18","sabato","inverno",1
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-19","festivo","inverno",1
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-20","lunedì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-21","martedì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-22","mercoledì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-23","giovedì","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-24","venerdì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-25","sabato","inverno",1
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-26","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-27","lunedì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-28","martedì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-29","mercoledì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-30","giovedì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-01-31","venerdì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-01","sabato","inverno",2
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-02","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-03","lunedì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-04","martedì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-05","mercoledì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-06","giovedì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-07","venerdì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-08","sabato","inverno",1
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-09","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-10","lunedì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-11","martedì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-12","mercoledì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-13","giovedì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-14","venerdì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-15","sabato","inverno",1
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-16","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-17","lunedì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-18","martedì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-19","mercoledì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-20","giovedì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-21","venerdì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-22","sabato","inverno",2
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-23","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-24","lunedì","inverno",10
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-25","martedì","inverno",10
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-26","mercoledì","inverno",9
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-27","giovedì","inverno",6
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-02-28","venerdì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-03-01","sabato","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-03-02","festivo","inverno",0
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-03-03","lunedì","inverno",7
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-03-04","martedì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-03-05","mercoledì","inverno",8
"Zona_6","Area_14","Sottoarea_106",43.99437259,12.39047588,"Prodotto_1","2014-03-06","giovedì","inverno",8
